#/inh/user/user.c
SaveDatabase (["ndmkk":0,"phongbaolixi2":1,"tipstatus":({167276066,18805345,}),"famrec":1,"tipsstatus":38690,"tips_status":40,"ketacc":1,"can_get_prize":1,"nguhanh":1,"login_count":0,"ndmkhtk":0,"yaodian_daocaoren":3,"phongbaolixi":3934,])
SaveDbase2 (["double_time":(["time2":0,"time3":0,"week":2492,"time":0,"time1":1,"freeze":0,]),"hotkey":(["16":"70","58":"Trị Dược","20":"74","9":"61","59":"2510","8":"98","19":"73","10":"51","18":"72","60":"2514","17":"71","7":"99",]),"timepbexp":22,"timepbnl":22,"fride":(["day":283,"gio":22,]),"online_rank":(["start":1507737715,"time":4463,"level":0,]),"familyuse":1507737328,"mastertask":(["fivebonus":0,"day":283,"count":0,]),"task":(["story":1,]),])
Gender 1
NoFight 1
StartPlace "80:(314,127)6"
Gift1 (/30,25,25,25,25,/)
Gift2 (/0,0,232,0,0,/)
Hair 3
PersonPhoto 4
HP (/1862,1862,/)
MP (/466,466,/)
AP 1058
DP 593
CP 8
PP 342
SP 217
MaxYuan 12
Yuan 12
DamageCount 2
UpgradeExp 563877
Experience 13295325
Potential 1263
MaxLevel 58
Level 58
Cash 1180214
max_pawn 1
ChatOpen 1
RumorOpen 1
CityOpen 1
OrgOpen 1
FamilyOpen 1
SayOpen 1
TeamOpen 1
TradeOpen 1
IdProtect ""
Legend ({2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6291456,})
Legend2 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
Legend3 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
mpTask ([])
mpQuest ([])
mpFly ([])
mpMascot ([])
mpChBlk ([])
mpLOG (["$get$L":1810843,"$buy$L":900,"#npc":1543,"$give$H":0,"$buy$H":0,"$get$H":0,"$pay$H":0,"$give2$H":0,"&npc":643857,"$give$L":9000,"$pay$L":689,"$learn$H":0,"*npc":1163,"$give2$L":50000,"$learn$L":112,])
Strength 8
Jobs ([])
mpPerform (["02514":1507736753,"02510":1507736486,])
Family (/"Cấm Vệ Quân",0,4,0,"Quân Giáo Đầu",0,1507734304,/)
Org (/0,0,0,0,0,0,0,/)
City (/0,0,0,0,0,0,0,/)
FamilyType 3
Skills (["0251":(/6,0,/),"0349":(/1,0,/),"0242":(/1,0,/),"0241":(/1,0,/),"0348":(/1,0,/),])
Skills_0 ([])
Skills_1 ([])
Skills_2 ([])
