#/npc/std/pet.c
SaveDatabase (["no_give":1,"show_time":79,"no_fuse":1,"shenshou":1,])
SaveDbase2 ([])
NoFight 1
Con 55
Spi 57
Str 62
Cps 98
Dex 57
HP (/634,1269,/)
MP (/155,311,/)
HP_Cent 24
AP 398
DP 778
CP 161
PP 194
SP 196
Poison 6
mpPerform ([])
Family (/0,0,0,0,0,0,0,/)
Org (/"ADĐụt",0,0,0,0,0,0,/)
City (/"Sở Quốc",0,0,0,0,0,0,/)
Skills (["74231":(/1,0,/),"74202":(/1,0,/),"74218":(/1,0,/),"74217":(/1,0,/),"74205":(/1,0,/),"74220":(/1,0,/),])
WeaponCode 60
Name "Thỏ"
PicId 3010
Owner 
OwnerNumber 31
Level 45
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
pet_id "31_1507825313"
FirstOwnerId 31
FirstOwnerName "MớiLớn"
birthday 1507825313
OwnerTime 1507825313
FirstName "Thỏ"
OwnerName "MớiLớn"
OwnerAccount "nganthao90#2"
OwnerNumber 31
lifetime 9846
faith 1
blood 1
Experience 3880
GiftPoint 176
iPortrait 3010
con_grow 1975
str_grow 1379
cps_grow 1589
mp_grow 804
ma_grow 606
md_grow 1006
dex_grow 1726
