#/npc/std/pet.c
SaveDatabase (["no_give":1,"shenshou":1,"show_time":532,"no_fuse":1,])
SaveDbase2 ([])
NoFight 1
Con 80
Spi 97
Str 69
Cps 74
Dex 71
HP (/964,1929,/)
MP (/285,570,/)
HP_Cent 24
AP 380
DP 599
CP 281
PP 301
SP 257
mpPerform ([])
Family (/0,0,0,0,0,0,0,/)
Org (/0,0,0,0,0,0,0,/)
City (/0,0,0,0,0,0,0,/)
Skills (["74217":(/1,0,/),"74220":(/1,0,/),"74219":(/1,0,/),"74218":(/1,0,/),"74225":(/1,0,/),])
WeaponCode 60
Name "Gà"
PicId 3016
Owner 
OwnerNumber 4
Level 58
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
pet_id "4_1507605069"
FirstOwnerId 4
FirstOwnerName "❣EmPlus"
birthday 1507605069
OwnerTime 1507605069
FirstName "Gà"
OwnerName "❣EmPlus"
OwnerAccount "trungq"
OwnerNumber 4
lifetime 9785
faith 88
blood 1
Experience 159522
GiftPoint 231
iPortrait 3016
con_grow 1975
str_grow 1379
cps_grow 1589
mp_grow 804
ma_grow 606
md_grow 1006
dex_grow 1726
